#Identifiant_du_site;Libellé_du_site;Caractéristique_du_site;Site_Acores_de_rattachement;Adresse;Complément_d_adresse;Lieu_dit;Code_postal;Localité;Code_INSEE;Pays;Latitude;Longitude;Précision_du_géocodage;Numéro_de_téléphone;latlong
15015A;SARTROUVILLE PRINCIPAL BP;Bureau de Poste;;PLACE ALEXANDRE DUMAS;;;78500;SARTROUVILLE;78586;FRANCE;48.943878;2.189764;Géocodé au numéro;3631;48.943878, 2.189764
15016A;SEPTEUIL BP;Bureau de Poste;;1 RUE MAURICE CLERET;;;78790;SEPTEUIL;78591;FRANCE;48.892766;1.680097;Géocodé au numéro;3631;48.892766, 1.680097
15018A;TACOIGNIERES AP;Agence postale communale;14961A;1 RUE CLOS DE L ISLE;;;78910;TACOIGNIERES;78605;FRANCE;48.835799;1.674556;Géocodé au numéro;3631;48.835799, 1.674556
15022A;TRAPPES;Bureau de Poste;;2 RUE LEO LAGRANGE;;;78190;TRAPPES;78621;FRANCE;48.777194;1.98634;Géocodé au numéro;3631;48.777194, 1.98634
15025A;VELIZY VILLACOUBLAY LE MAIL;Bureau de Poste;;3 RUE PAULHAN;;;78140;VELIZY VILLACOUBLAY;78640;FRANCE;48.785095;2.181087;Géocodé au numéro;3631;48.785095, 2.181087
15026A;VERNEUIL SUR SEINE BP;Bureau de Poste;;PLACE GEORGES BRASSENS;;;78480;VERNEUIL SUR SEINE;78642;FRANCE;48.980193;1.974779;Géocodé au numéro;3631;48.980193, 1.974779
15049A;VERSAILLES GLATIGNY BP;Bureau de Poste;;2 ROND POINT DE LA CHAPELLE;;;78000;VERSAILLES;78646;FRANCE;48.821691;2.142499;Géocodé au numéro;3631;48.821691, 2.142499
15150A;NIORT ORANGERIE;Bureau de Poste;;4 RUE ERNEST PEROCHON;;;79000;NIORT;79191;FRANCE;46.321819;-0.460885;Géocodé au numéro;3631;46.321819, -0.460885
15172A;ST MARTIN DE SANZAY AP;Agence postale communale;15191A;18 PLACE JEAN LOUIS NOEL;;;79290;ST MARTIN DE SANZAY;79277;FRANCE;47.081097;-0.200217;Géocodé au numéro;3631;47.081097, -0.200217
15200A;USSEAU RP;Relais poste commerçant;15135A;4 ROUTE LA FORET;BAR TABAC RESTAURANT CHEZ DOMINIQUE;;79210;USSEAU;79334;FRANCE;46.17344;-0.578322;Géocodé au numéro;3631;46.17344, -0.578322
15208A;LIMALONGES RP;Relais poste commerçant;15143A;4 RUE DE LA CAILLAUDE;BAR TABAC;;79190;LIMALONGES;79150;FRANCE;46.129798;0.168207;Géocodé au centre de la commune;3631;46.129798, 0.168207
15211A;NIORT SAINT FLORENT BP;Bureau de Poste;;187 AVENUE SAINT JEAN D ANGELY;;;79000;NIORT;79191;FRANCE;46.311695;-0.465445;Géocodé au numéro;3631;46.311695, -0.465445
15212A;NIORT ANGELIQUE BP;Bureau de Poste;;BOULEVARD DE L ATLANTIQUE;;;79000;NIORT;79191;FRANCE;46.316599;-0.480106;Géocodé au numéro;3631;46.316599, -0.480106
15225A;ARREST AP;Agence postale communale;15356A;6 PLACE AUGUSTIN DELAHAYE;;;80820;ARREST;80029;FRANCE;50.127897;1.616319;Géocodé au milieu de la rue;3631;50.127897, 1.616319
15226A;ARVILLERS APC AP;Agence postale communale;15323A;1 PLACE DE L EGLISE;;;80910;ARVILLERS;80031;FRANCE;49.7457;2.647377;Géocodé au numéro;3631;49.7457, 2.647377
15236A;BEAUVAL BP;Bureau de Poste;;11 RUE CHARLES CAGNY;;;80630;BEAUVAL;80071;FRANCE;50.108013;2.333342;Géocodé au numéro;3631;50.108013, 2.333342
15237A;DAVENESCOURT AP;Agence postale communale;15323A;16 GRANDE RUE;;;80500;DAVENESCOURT;80236;FRANCE;49.710292;2.597585;Géocodé au milieu de la rue;3631;49.710292, 2.597585
15245A;BOVES BP;Bureau de Poste;;2 B RUE JOSEPH MANCEL;;;80440;BOVES;80131;FRANCE;49.843632;2.388012;Géocodé au numéro;3631;49.843632, 2.388012
15253A;CAYEUX SUR MER BP;Bureau de Poste;;6 RUE DU DOCTEUR BOURJOT;;;80410;CAYEUX SUR MER;80182;FRANCE;50.181859;1.492597;Géocodé au numéro;3631;50.181859, 1.492597
15270A;EQUANCOURT RP;Relais poste commerçant;15333A;33 GRANDE RUE;Bar de Mme Réjane Thomas;EQUANCOURT;80360;COMBLES;80275;FRANCE;50.035516;3.020209;Géocodé au numéro;3631;50.035516, 3.020209
15303A;LIGNIERES CHATELAIN AP;Agence postale communale;15336A;;2 PLACE DE LA MAIRIE;;80290;LIGNIERES CHATELAIN;80479;FRANCE;49.775197;1.864638;Géocodé au milieu de la rue;3631;49.775197, 1.864638
15347A;QUIRY LE SEC RP;Relais poste commerçant;15323A;9 RUE ETEVE;BOULANGERIE PATISSERIE BERTIN;QUIRY LE SEC;80250;AILLY SUR NOYE;80657;FRANCE;49.672794;2.380548;Géocodé au milieu de la rue;3631;49.672794, 2.380548
15416A;BRENS AP;Agence postale communale;15437A;5 PLACE DE LA MAIRIE;;;81600;BRENS;81038;FRANCE;43.889449;1.910365;Géocodé au milieu d un îlot;3631;43.889449, 1.910365
15418A;BURLATS RP;Relais poste commerçant;15429A;QUAI ADELAIDE;LE RELAIS DE BURLATS;;81100;BURLATS;81042;FRANCE;43.635796;2.31851;Géocodé au numéro;3631;43.635796, 2.31851
15426A;CARMAUX;Bureau de Poste;;20 PLACE JEAN JAURES;;;81400;CARMAUX;81060;FRANCE;44.050888;2.156162;Géocodé au numéro;3631;44.050888, 2.156162
15432A;CUQ TOULZA AP;Agence postale communale;15460A;10 AVENUE JEAN JAURES;;;81470;CUQ TOULZA;81076;FRANCE;43.568721;1.883935;Géocodé au numéro;3631;43.568721, 1.883935
15440A;GRAULHET;Bureau de Poste;;PLACE DU LANGUEDOC;;;81300;GRAULHET;81105;FRANCE;43.762794;1.9917;Géocodé au numéro;3631;43.762794, 1.9917
15446A;LACAUNE BP;Bureau de Poste;;29 RUE DE LA REPUBLIQUE;;;81230;LACAUNE;81124;FRANCE;43.70677;2.69307;Géocodé au numéro;3631;43.70677, 2.69307
15448A;LACROUZETTE AP;Agence postale communale;15429A;PLACE DU THERON;;;81210;LACROUZETTE;81128;FRANCE;43.662797;2.348116;Géocodé au milieu de la rue;3631;43.662797, 2.348116
15450A;LAGRAVE AP;Agence postale communale;15516A;PLACE DE L EGLISE;;;81150;LAGRAVE;81131;FRANCE;43.897092;1.992997;Géocodé au centre de la commune;3631;43.897092, 1.992997
15454A;LEMPAUT AP;Agence postale communale;15460A;LE VILLAGE;;;81700;LEMPAUT;81142;FRANCE;43.527897;2.065403;Géocodé au centre de la commune;3631;43.527897, 2.065403
15469A;NOAILHAC AP;Agence postale communale;15429A;AVENUE CHARLES TAILHADES;;;81490;NOAILHAC;81196;FRANCE;43.5736;2.353687;Géocodé au milieu de la rue;3631;43.5736, 2.353687
15470A;PAMPELONNE AP;Agence postale communale;15426A;31 AVENUE DU VIAUR;;;81190;PAMPELONNE;81201;FRANCE;44.123898;2.245349;Géocodé au milieu de la rue;3631;44.123898, 2.245349
15478A;REALMONT BP;Bureau de Poste;;32 BOULEVARD GAMBETTA;;;81120;REALMONT;81222;FRANCE;43.775493;2.187471;Géocodé au numéro;3631;43.775493, 2.187471
15486A;SAINT SULPICE BP;Bureau de Poste;;PLACE SOULT;;;81370;ST SULPICE;81271;FRANCE;43.773737;1.687125;Géocodé au numéro;3631;43.773737, 1.687125
15487A;SAIX BP;Bureau de Poste;;PLACE DU RIVET;;;81710;SAIX;81273;FRANCE;43.585197;2.179909;Géocodé au numéro;3631;43.585197, 2.179909
15499A;VALENCE D ALBIGEOIS BP;Bureau de Poste;;RUE DE LA POSTE;;;81340;VALENCE D ALBIGEOIS;81308;FRANCE;44.018751;2.403026;Géocodé au numéro;3631;44.018751, 2.403026
15518A;CASTRES L ALBINQUE;Bureau de Poste;;21 BOULEVARD DES DOCTEURS SICARD;;;81100;CASTRES;81065;FRANCE;43.6079;2.240456;Géocodé au numéro;3631;43.6079, 2.240456
15523A;ALBEFEUILLE LAGARDE AP;Agence postale communale;15539A;VILLAGE;;;82290;ALBEFEUILLE LAGARDE;82001;FRANCE;44.064391;1.28063;Géocodé au centre de la commune;3631;44.064391, 1.28063
15528A;BEAUMONT DE LOMAGNE;Bureau de Poste;;37 RUE DESPEYROUX;;;82500;BEAUMONT DE LOMAGNE;82013;FRANCE;43.881552;0.989281;Géocodé au numéro;3631;43.881552, 0.989281
15531A;BOURG DE VISA BP;Bureau de Poste;;ROUTE DE MOISSAC;;;82190;BOURG DE VISA;82022;FRANCE;44.261045;0.95937;Géocodé au numéro;3631;44.261045, 0.95937
15533A;BRESSOLS BP;Bureau de Poste;;VILLAGE BRESSOLS;;;82710;BRESSOLS;82025;FRANCE;43.968191;1.338491;Géocodé au numéro;3631;43.968191, 1.338491
15538A;CASTELSAGRAT AP;Agence postale communale;15610A;;;;82400;CASTELSAGRAT;82032;FRANCE;44.183692;0.946321;Géocodé au milieu de la rue;3631;44.183692, 0.946321
15542A;CAYLUS BP;Bureau de Poste;;AVENUE DU PERE EVARISTE HUC;;;82160;CAYLUS;82038;FRANCE;44.236471;1.772512;Géocodé au numéro;3631;44.236471, 1.772512
15545A;CORBARIEU AP;Agence postale communale;15558A;RUE DE L EGLISE;;;82370;CORBARIEU;82044;FRANCE;43.944529;1.368548;Géocodé au numéro;3631;43.944529, 1.368548
15546A;DIEUPENTALE AP;Agence postale communale;15558A;RUE PRINCIPALE;A COTE DE LA MAIRIE;PLACE AUGUSTE PUIS;82170;DIEUPENTALE;82048;FRANCE;43.862793;1.268521;Géocodé au centre de la commune;3631;43.862793, 1.268521
15550A;ESCATALENS AP;Agence postale communale;15528A;3 PLACE DE LA MAIRIE;;;82700;ESCATALENS;82052;FRANCE;43.98406;1.189852;Géocodé au numéro;3631;43.98406, 1.189852
15553A;GARGANVILLAR AP;Agence postale communale;15539A;3 RUE DE LA MAIRIE;;;82100;GARGANVILLAR;82063;FRANCE;43.977996;1.06952;Géocodé au centre de la commune;3631;43.977996, 1.06952
15555A;GRAMONT AP;Agence postale communale;15528A;VILLAGE;;;82120;GRAMONT;82074;FRANCE;43.936395;0.767787;Géocodé au centre de la commune;3631;43.936395, 0.767787
15559A;LABOURGADE AP;Agence postale communale;15539A;7 RUE DE LA TUILERIE;;;82100;LABOURGADE;82081;FRANCE;43.949794;1.101139;Géocodé au centre de la commune;3631;43.949794, 1.101139
15560A;LAFITTE RP;Relais poste commerçant;15539A;LE BOURG;EPICERIE LOU PITCHOU MARCAT;;82100;LAFITTE;82086;FRANCE;43.971096;1.119661;Géocodé au numéro;3631;43.971096, 1.119661
15561A;LAFRANCAISE BP;Bureau de Poste;;RUE MARY LAFON;;;82130;LAFRANCAISE;82087;FRANCE;44.128313;1.241297;Géocodé au numéro;3631;44.128313, 1.241297
15563A;LAMAGISTERE BP;Bureau de Poste;;ALLEE LOUIS BOURGEAT;;;82360;LAMAGISTERE;82089;FRANCE;44.123996;0.825156;Géocodé au milieu de la rue;3631;44.123996, 0.825156
15573A;MAS GRENIER AP;Agence postale communale;15558A;;AU BOURG;;82600;MAS GRENIER;82105;FRANCE;43.891298;1.195717;Géocodé au milieu de la rue;3631;43.891298, 1.195717
15576A;MIRAMONT DE QUERCY AP;Agence postale communale;15610A;;;;82190;MIRAMONT DE QUERCY;82111;FRANCE;44.230594;1.065451;Géocodé au centre de la commune;3631;44.230594, 1.065451
15592A;POMPIGNAN AP;Agence postale communale;15558A;1RUE BERNARD PEYRILLE;;;82170;POMPIGNAN;82142;FRANCE;43.816499;1.31302;Géocodé au centre de la commune;3631;43.816499, 1.31302
15593A;PUYLAGARDE AP;Agence postale communale;15541A;VILLAGE;;;82160;PUYLAGARDE;82147;FRANCE;44.296097;1.838937;Géocodé au centre de la commune;3631;44.296097, 1.838937
15595A;REALVILLE AP;Agence postale communale;15541A;PLACE DES ARCADES;;;82440;REALVILLE;82149;FRANCE;44.113897;1.479099;Géocodé au milieu de la rue;3631;44.113897, 1.479099
15599A;SAINT ANTONIN NOBLE VAL BP;Bureau de Poste;;18 BOULEVARD DES THERMES;;;82140;ST ANTONIN NOBLE VAL;82155;FRANCE;44.150917;1.754197;Géocodé au numéro;3631;44.150917, 1.754197
15606A;SEPTFONDS BP;Bureau de Poste;;21 COURS ALSACE;;;82240;SEPTFONDS;82179;FRANCE;44.177593;1.616772;Géocodé au milieu de la rue;3631;44.177593, 1.616772
15609A;VALEILLES AP;Agence postale communale;15610A;VILLAGE VALEILLES;;;82150;VALEILLES;82185;FRANCE;44.363392;0.922003;Géocodé au centre de la commune;3631;44.363392, 0.922003
15612A;VAZERAC BP;Bureau de Poste;;6 RUE DU TUCOL;;;82220;VAZERAC;82189;FRANCE;44.189945;1.285981;Géocodé au numéro;3631;44.189945, 1.285981
15613A;VERDUN SUR GARONNE BP;Bureau de Poste;;PLACE DE L EPERON;;;82600;VERDUN SUR GARONNE;82190;FRANCE;43.852937;1.235013;Géocodé au numéro;3631;43.852937, 1.235013
15618A;MONTAUBAN SAPIAC BP;Bureau de Poste;;RUE DE L ABBAYE;LOT 11 - CENTRE COMMERCIAL SAPIAC;;82000;MONTAUBAN;82121;FRANCE;44.004692;1.353967;Géocodé au numéro;3631;44.004692, 1.353967
15633A;BARGEMON BP;Bureau de Poste;;PLACE SAINT ETIENNE;;;83830;BARGEMON;83011;FRANCE;43.619869;6.552123;Géocodé au numéro;3631;43.619869, 6.552123
